"project","plot","subplot","survey","tree.date","family","species","pft","wsg","wsg.sd","tree","stem","x","y","z","status","allom.key","a.stem","h.t","h.t.mod","d.stem","d.stem.valid","d.ht","c.w","m.agb"
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7501","1",479317.032606432,5227756.94553066,NA,1,19,0.0158367685667461,NA,13.7802554153565,0.142,1,1.3,NA,41.1690474852108
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Eucalyptus obliqua","EA",0.830092581326441,0.0941339098036177,"7502","1",479316.184947782,5227756.79898779,NA,0,19,0.0181458391671346,NA,14.9025908588276,0.152,1,1.3,NA,48.8176814163929
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7503","1",479315.645747157,5227752.41158962,NA,1,19,0.010028749148422,NA,10.5237355410349,0.113,1,1.3,NA,23.2353504482867
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7505","1",479312.421550887,5227759.39260376,NA,1,19,0.0116898662640076,NA,11.5321537339482,0.122,1,1.3,NA,28.1504810473356
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Nematolepis squamea","EA",0.721825967529722,0.127323994743174,"7506","1",479310.39275601,5227755.77404171,NA,1,19,0.0483051286415967,NA,25.2127028505445,0.248,1,1.3,NA,166.321278006172
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Eucalyptus obliqua","EA",0.830092581326441,0.0941339098036177,"7507","1",479311.310697041,5227755.99172097,NA,0,19,0.0226980069221863,NA,16.9104961336775,0.17,1,1.3,NA,64.6077926982211
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7508","1",479315.733362949,5227761.32182663,NA,1,19,0.0251649425534176,NA,17.905573950802,0.179,1,1.3,NA,73.5164951587558
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7510","1",479313.807556147,5227764.06796358,NA,1,19,0.0134782178820636,NA,12.5434563292674,0.131,1,1.3,NA,33.6424897661224
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7511","1",479312.959897497,5227763.92142071,NA,1,19,0.0226980069221863,NA,16.9104961336775,0.17,1,1.3,NA,64.6077926982211
"australia_ausplotsforests","TCFTSR005","TCFTSR005-12","1","2013-05-14",NA,"Pomaderris apetala","EA",0.721825967529722,0.127323994743174,"7512","1",479312.035978356,5227764.69367288,NA,1,19,0.0113097335529233,NA,11.3077298958322,0.12,1,1.3,NA,27.0091330810903
